Jembatan Dua,106793498,-6143193
Jembatan Tiga,106792658,-6133257
Penjaringan,106791971,-6126195
Pluit,106790036,-6115773
Cawang Sutoyo,106875963,-6244699
Penas Kalimalang,106878038,-6239179
Cipinang Kebon Nanas,106876285,-6231349
Pedati Prumpung,106874393,-6220048
Stasiun Jatinegara,106874213,-6215436
Ahmad Yani Bea Cukai,106873752,-6205437
Utan Kayu Rawamangun,106874100,-6197244
Pemuda Pramuka,106874995,-6192691
Kayu Putih Rawasari,106875446,-6187314
Pulomas Bypass,106875994,-6177123
Cempaka Putih,106876432,-6174307
Cempaka Mas 2,106879069,-6165826
Yos Sudarso Kodamar,106881786,-6161838
Sunter Kelapa Gading,106890732,-6142789
Plumpang Pertamina,106893643,-6128197
Walikota Jakarta Utara,106893182,-6118553
Permai Koja,106893060,-6113924
Enggano,106892803,-6110147
Tanjung Priok,106882331,-6109613
Pulogebang,106956280,-6207825
Walikota Jakarta Timur,106946280,-6212214
Penggilingan,106939293,-6215889
Perumnas Klender,106928915,-6216485
Flyover Raden Inten,106924443,-6215926
Buaran,106924520,-6215996
Kampung Sumur,106910049,-6214187
Flyover Klender,106902063,-6213542
Stasiun Klender,106899299,-6213499
Cipinang,106885271,-6214523
Imigrasi Jakarta Timur,106881697,-6214700
Pasar Enjo,106877919,-6214864
Flyover Jatinegara,106873688,-6215147
Stasiun Jatinegara 2,106867689,-6215561
Sunter Boulevard Barat,106888921,-6149702
Sunter Karya,106870043,-6137656
Sunter SMP 140,106859601,-6139576
Danau Sunter Barat,106857984,-6146528
Kemayoran Landas Pacu Timur,106854186,-6152097
Mangga Dua,106825728,-6136176
Pangeran Jayakarta,106817622,-6137613
Kota,106813726,-6138453
Kali Besar Barat,106811340,-6135458
Museum Fatahillah,106812062,-6133866
Pluit Auto Plaza Landmark,106797639,-6125260
Pakin,106804748,-6127626
Gedong Panjang,106805987,-6132448
Bandengan Pekojan,106800454,-6136619
